_id,tanggal,jam,title,deskripsi
1,2017-06-02T00:00:00,07:00:00,TEST,45754754656
2,2017-06-02T00:00:00,09:00:00,Audiensi dengan DPRD,Ruang Rapat MKD Lantai 1 Gedung Nusantara I
3,2017-06-02T00:00:00,14:30:00,Audiensi Wakil Ketua DPR RI/Korpolkam dgn DPP Ikatan Keluarga Minang,"Audiensi Wakil Ketua DPR RI/Korpolkam dgn DPP Ikatan Keluarga Minang. Tempat:Ruang Kerja Wakil Ketua DPR RI/Korpolkam, Gd. Nusantara III Lt.3"
4,2017-06-05T00:00:00,10:00:00,Rancangan Jadwal Komisi VIII DPR RI MS V TS 2016-2017,Jadwal Komisi VIII DPR RI MS V TS 2016-2017
5,2017-06-05T00:00:00,10:00:00,Uji Kelayakan dan Kepatutan Calon Anggota Komisi Perlindungan Anak Indonesia (KPAI) Periode 2017-2022.,Uji Kelayakan dan Kepatutan.
6,2017-06-05T00:00:00,10:00:00,"RDP Panja Evaluasi Dikdasmen Komisi X DPR RI dengan Sekjen, Irjen, Dirjen Guru dan Tenaga Kependidikan, Dirjen PAUD dan Pendidikan Masyarakat, dll","1. Sosialisai, implementasi, permasalahan, perkembangan, dan pengawasan, serta evaluasi SNP;
2. Keterkaitan SNP dengan Sistem Penjaminan Mutu;
3. Peta satuan pendidikan per kabupaten/kota dan intervensi Pemerintah untuk memenuhi SNP."
7,2017-06-05T00:00:00,10:00:00,Rapat Dengar Pendapat Komisi I DPR RI dengan Kepala Badan Keamanan Laut RI.,Pembahasan RKA KL dan RKP KL Bakamla RI T.A. 2018.
8,2017-06-05T00:00:00,10:00:00,"Komisi VI DPR RI Raker dengan Menteri Perdagangan dan RDP dengan Dirut Perum Bulog, Dirut PT.PPI, Dirut RNI, Dirut Berdikari",Melanjutkan Rapat Kerja dan Rapat Dengar Pendapat tanggal 29 Mei 2017
9,2017-06-05T00:00:00,10:00:00,KOMISI III RAKER DG JAKSA AGUNG RI,"- PENJELASAN JAKSA AGUNG TERKAIT EVALUASI KINERJA SEMESTER PERTAMA THN 2017 KEJAKSAAN AGUNG, CAPAIAN YG DILAKUKAN BESERTA KENDALA YG DIHADAPI;
- PENJELASAN JAKSA AGUNG TERKAIT PERMASALAHAN AKTUAL YANG TERJADI BERKAITAN DG TUPOKSI KEJAKSAAN;
PENJELASAN JAKSA AGUNG TERKAIT PERBAIKAN YG DILAKUKAN DI BIDANG PENGAWASAN DAN PEMBINAAN SERTA UPAYA REFORMASI BIROKRASI KEJAKSAAN;
- TINDAKLANJUT ATAS PENGADUAN MASYARAKAT DAN KESIMPULAN PD RAPAT KERJA TGL 12 APRIL 2017."
10,2017-06-05T00:00:00,10:00:00,Komisi VIII DPR RI Uji Kelayakan dan Kepatutan Calon Anggota KPAI Tahun 2017-2022,Komisi VIII DPR RI Uji Kelayakan dan Kepatutan Calon Anggota KPAI Tahun 2017-2022
11,2017-06-05T00:00:00,10:00:00,Komisi XI DPR RI RDPU dengan Calon Anggota DK OJK,Acara: Fit and Proper test Calon Anggota DK OJK
12,2017-06-05T00:00:00,10:00:00,"RDP KOMISI IV DPR RI DGN KABADAN PENELITIAN KEMENTAN, KABADAN PENELITIAN KKP, KABADAN KEMEN LH DAN KEHUTANAN",Membahas mengenai hasil riset dan program riset kementerian
13,2017-06-05T00:00:00,13:00:00,Harmonisasi RUU tentang Minyak dan Gas Bumi,Penjelasan Pengusul atas Hasil Kajian Harmonisasi RUU tentang Minyak dan Gas Bumi
14,2017-06-05T00:00:00,13:00:00,Rapat Intern Komisi II DPR RI,pengam ilan keputusan terhadap 3 orang Calon Anggota DKPP sbg usulan DPR RI RI
15,2017-06-05T00:00:00,15:00:00,Rapat Panja RUU Penyelenggaraan Pemilihan Umum dengan Pemerintah,Agenda : membahas 4 (empat) isu yang pending dalam Timus.
16,2017-06-06T00:00:00,10:00:00,RAPAT PARIPURNA DPR RI KE-27 MS V TS 2016-2017,AGENDA: Tanggapan Pemerintah terhadap Pandangan Fraksi-Fraksi mengenai Keterangan Pemerintah mengenai Kerangka Ekonomi Makro dan Pokok-Pokok Kebijakan Fiskal RAPBN 2018.
17,2017-06-06T00:00:00,12:00:00,Rapat Dengar Pendapat Komisi I DPR RI dengan Kepala Lemsaneg RI.,Pembahasan RKA KL dan RKP KL Lemsaneg T.A. 2018.
18,2017-06-06T00:00:00,12:00:00,"Badan Anggaran DPR RI - Rapat Kerja dengan Menteri Keuangan RI, Menteri PPN/Kepala Bappenas dan Gubernur Bank Indonesia","1. Penyampaian Kerangka Ekonomi Makro dan Pokok-pokok Kebijakan Fiskal dalam RAPBN TA. 2018 dan RKP Tahun 2018 
2. Pembentukan Panja-panja"
19,2017-06-06T00:00:00,13:00:00,Uji Kelayakan dan Kepatutan Calon Anggota Komisi Perlindungan Anak Indonesia (KPAI) Periode 2017-2022.,Uji Kelayakan dan Kepatutan.
